p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,8.46441911316991,0.47,0.215,0,0,SCN1A
0,8.11850187070861,0.601,0.323,0,0,CYGB
0,5.73957744956087,0.491,0.185,0,0,MAP3K5
0,5.71676654188931,0.504,0.176,0,0,NDST3
0,5.62577102320203,0.43,0.19,0,0,PLA2G7
0,5.24441347427733,0.917,0.333,0,0,FRMD4A
0,5.0266884711947,0.301,0.161,0,0,PDLIM5
0,4.83934052572353,0.468,0.193,0,0,TEKT2
0,4.66103450936329,0.545,0.188,0,0,SH3BGRL2
0,4.30270288864482,0.542,0.22,0,0,CUX2
0,4.18001212827028,0.916,0.372,0,0,ROBO2
0,3.90071167193427,0.743,0.273,0,0,FLRT3
0,3.74587004422328,0.504,0.191,0,0,OLFM4
0,3.72915386128083,0.926,0.313,0,0,NRP1
0,3.55945254551586,0.551,0.302,0,0,FBXO10
0,3.47508542250145,0.564,0.26,0,0,MMP17
0,3.21195411899033,0.804,0.325,0,0,NKAIN3
0,3.01332147670171,0.612,0.194,0,0,FZD1
0,2.99781312246274,0.46,0.196,0,0,DSG2
0,2.94198933834637,0.473,0.197,0,0,ZBBX
0,2.88737277071316,0.735,0.448,0,0,TTC9B
0,2.82166401239256,0.724,0.317,0,0,LSAMP
0,2.82052864603985,0.578,0.239,0,0,NOS1
0,2.65220932713289,0.959,0.556,0,0,CD24A
0,2.56926241789229,0.744,0.205,0,0,PDZRN3
0,2.52368151385625,0.817,0.423,0,0,CTTNBP2
0,2.50086509739565,0.97,0.414,0,0,TSC22D1
0,2.44514501699886,0.559,0.167,0,0,KLHL35
0,2.44403480435029,0.698,0.284,0,0,SEMA6D
0,2.40245073403932,0.803,0.335,0,0,PPP2R1B
0,2.3763903737719,0.921,0.521,0,0,NEUROD2
0,2.29827380618985,0.736,0.332,0,0,IGSF3
0,2.28432821573748,0.876,0.473,0,0,MYT1L
0,2.23143642065494,0.61,0.271,0,0,WWC1
0,2.14825300733694,0.884,0.4,0,0,POU3F1
0,2.09341106702194,0.676,0.247,0,0,SHB
0,2.0554561674792,0.601,0.31,0,0,GRAMD1B
0,2.02699933916866,0.681,0.349,0,0,OLFM1
0,1.9606843170017,0.834,0.466,0,0,GRIA2
0,1.72471537458263,0.693,0.381,0,0,EPHA5
0,1.71822797320831,0.556,0.35,0,0,LMO4
0,1.69414869254933,0.628,0.261,0,0,PCDH8
0,1.68038459500026,0.642,0.305,0,0,KCNK2
0,1.63996232957422,0.828,0.42,0,0,CLMP
0,1.50451844121345,0.925,0.453,0,0,TAGLN3
0,1.47039018714343,0.669,0.382,0,0,MN1
0,1.44385184652899,0.6,0.346,0,0,NUAK1
0,1.34897925044233,0.831,0.364,0,0,ITM2B
0,1.33330096520587,0.717,0.396,0,0,TMEFF1
0,1.32082883205671,0.654,0.217,0,0,DUSP14
0,1.28967023508459,0.765,0.41,0,0,TTC28
0,1.25044353664154,0.679,0.403,0,0,GRINA
0,1.20371988958864,0.889,0.541,0,0,BASP1
0,1.14782198948576,0.561,0.342,0,0,ITPK1
0,1.12420024205535,0.934,0.391,0,0,IGFBPL1
0,1.11059508721182,0.764,0.421,0,0,AFF3
0,1.10977846357684,0.7,0.431,0,0,GNG3
0,1.08903925091752,0.48,0.255,0,0,STARD3
0,1.08607774573758,0.693,0.406,0,0,PTPRS
0,1.08124097819937,0.872,0.36,0,0,H3F3B
0,1.03021396165234,0.714,0.342,0,0,CNTN2
0,1.01265321895544,0.652,0.328,0,0,CABP1
0,0.991984843456251,0.64,0.373,0,0,DSCAM
0,0.970362870966516,0.885,0.413,0,0,BHLHE22
0,0.950425636812497,0.612,0.365,0,0,NFASC
0,0.920012904551324,0.671,0.428,0,0,NEDD4L
